f,g,n,alpha,beta,gamma,k_gamma0,k_gamma,f_clean,g_clean,f_shift_x,f_shift_y,g_shift_x,g_shift_y,f_no_neg,g_no_neg
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,42,7,3,5,4,4,x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,0,0,1,2,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2
x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,42,7,3,6,4,4,x^3*y^3 + x^3*y^2 + 1,x*y^-2 + 1 + x^-1,0,0,1,2,x^3*y^3+x^3*y^2+1,x^2+x*y^2+y^2
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,3,7,-2,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,3,7,1,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,-17,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,-14,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,-8,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,-5,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,4,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,7,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,13,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,42,21,1,16,2,4,1 + x^-1*y^2 + x^-2*y,1 + x^-2*y^2 + x^-2*y^-3,2,0,2,3,x^2+x*y^2+y,x^2*y^3+y^5+1
x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,42,3,7,-2,2,4,x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,0,0,2,1,x^3*y^2+x^3*y+1,x^2*y+x^2+1
x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,42,3,7,1,2,4,x^3*y^2 + x^3*y + 1,1 + y^-1 + x^-2*y^-1,0,0,2,1,x^3*y^2+x^3*y+1,x^2*y+x^2+1
x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,42,3,7,-1,2,4,x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,0,0,0,3,x^3*y^2+x^2*y^2+1,x^2+x+y^3
x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,42,3,7,2,2,4,x^3*y^2 + x^2*y^2 + 1,x^2*y^-3 + x*y^-3 + 1,0,0,0,3,x^3*y^2+x^2*y^2+1,x^2+x+y^3
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,3,7,-2,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,3,7,1,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,-17,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,-14,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,-8,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,-5,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,4,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,7,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,13,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,42,21,1,16,2,4,x^2*y^-1 + x*y^-2 + 1,1 + x^-1*y^3 + x^-1*y,0,2,1,0,x^2*y+x+y^2,x+y^3+y
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,-20,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,-17,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,-14,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,-11,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,-8,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,1,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,4,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,7,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,10,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,42,21,1,13,2,4,x^2*y^-3 + 1 + y^-1,x*y^-2 + y^3 + 1,0,3,0,2,x^2+y^3+y^2,x+y^5+y^2
1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,42,3,7,-2,2,4,1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,3,0,3,0,x^3+x*y^3+y,x^3+x^2*y^2+1
1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,42,3,7,1,2,4,1 + x^-2*y^3 + x^-3*y,1 + x^-1*y^2 + x^-3,3,0,3,0,x^3+x*y^3+y,x^3+x^2*y^2+1
